사카, 43,162
사바, 91,199
라타, 52,163
타라, 92,181
차나, 63,151
나카, 83,160
나바, 86,146
라아, 95,145
사가, 63,185
라자, 68,175
자라, 75,190
파라, 77,183
마라, 76,161
자차, 86,151
자타, 72,143
바마, 75,181
마파, 44,180
자사, 47,162
가라, 57,199
나아, 46,177
타자, 58,154
사파, 67,180
하사, 51,172
바타, 91,142
바자, 99,153
다하, 54,148
가타, 53,156
라나, 66,185
나라, 84,154
아하, 73,178
나타, 80,151
나나, 61,179
다사, 54,156
가파, 71,166
가나, 65,179
마가, 87,186
사아, 64,194
아사, 60,198
타하, 83,142
파사, 71,148
타사, 76,150
가차, 60,141
자파, 70,157
바자, 43,143
다자, 92,155
바마, 88,183
가라, 88,164
아나, 78,158
사아, 92,186
사파, 88,168
파다, 65,154
카라, 71,155
자자, 45,166
마가, 89,157
타바, 82,190
아하, 99,145
나사, 63,174
아카, 71,193
바가, 53,145
아가, 44,153
카다, 68,151
마나, 87,150
사자, 86,197
파타, 57,148
나아, 87,155
마파, 76,189
다가, 59,151
사다, 54,199
라타, 60,194
가카, 81,170
타다, 87,197
자라, 87,193
하다, 89,187
자바, 59,185
나바, 80,186
자파, 73,175
타자, 93,174
라파, 40,170
타사, 73,183
나카, 88,176
하가, 54,165
라바, 97,140
나사, 94,149
다카, 43,154
사차, 92,198
라자, 95,181
카타, 56,196
라마, 42,140
아바, 79,174
다차, 83,171
가사, 67,165
라차, 86,192
파라, 42,184
나다, 51,149
파파, 92,152
가가, 40,195
파차, 84,187
가하, 58,190
마카, 42,143
타사, 60,168
